,demand_PNG,PV_B,WindOnshore_B,PV_N,WindOnshore_N,Wave_N,WindOffshore_N,Hydro_B,Geothermal_B
t1954,558.1362,504029.1,0,504029.1,0,0.112629041,889.3713379,115000,10958.9
t1955,556.0279,456014.7,33.9881,456014.7,33.9881,0.109283194,878.5431519,115000,10958.9
t1956,573.4258,857640.2,0,857640.2,0,0.105937347,682.0411377,115000,10958.9
t1957,570.6081,1027732,0,1027732,0,0.1025915,261.4910583,115000,10958.9
t1958,557.8278,1009361,0,1009361,0,0.100325994,528.6672363,115000,10958.9
t1959,569.2319,932432.8,0,932432.8,0,0.098060481,460.015625,115000,10958.9
t1960,592.6088,677118.2,0,677118.2,0,0.095794976,359.2763672,115000,10958.9
t1961,597.1757,292834,74.16611,292834,74.16611,0.093712941,111.7446518,115000,10958.9
t1962,579.0922,54949.9,0,54949.9,0,0.091630913,0,115000,10958.9
t1963,603.2282,0,0,0,0,0.089548878,0,115000,10958.9
t1964,691.1502,0,0,0,0,0.086448371,0,115000,10958.9
t1965,684.3071,0,0,0,0,0.084363066,117.6649551,115000,10958.9
t1966,639.821,0,0,0,0,0.082617216,300.1323242,115000,10958.9
t1967,603.3809,0,0,0,0,0.080959104,283.329895,115000,10958.9
t1968,573.1474,0,0,0,0,0.07925304,73.20736694,115000,10958.9
t1969,538.3871,0,0,0,0,0.077546984,89.53029633,115000,10958.9
t1970,525.9903,0,0,0,0,0.076127358,0,115000,10958.9
t1971,506.6985,0,0,0,0,0.074707732,0,115000,10958.9
t1972,498.9335,0,0,0,0,0.073288105,0,115000,10958.9
t1973,493.7053,0,0,0,0,0.070784889,0,115000,10958.9
t1974,488.664,0,51.20934,0,51.20934,0.068281673,58.85913086,115000,10958.9
t1975,488.7309,96104.73,0,96104.73,0,0.065778464,356.5516968,115000,10958.9
t1976,505.9752,446832.5,53.8484,446832.5,53.8484,0.063273251,492.3757935,115000,10958.9
t1977,532.0553,499004.1,89.16396,499004.1,89.16396,0.060768045,319.8943176,115000,10958.9
