,demand_R1,PV_B,WindOnshore_B,PV_N,WindOnshore_N,Wave_N,WindOffshore_N,demand_R2
t7262,6.939851,3927.621,2073.601,3927.621,2073.601,344.3471491,2681.124512,59159
t7263,7.021682,3468.296,597.5522,3468.296,597.5522,346.8979299,2416.955811,57586
t7264,7.246638,3012.083,1312.255,3012.083,1312.255,349.4487107,2465.933838,56996
t7265,7.557133,2213.997,1554.668,2213.997,1554.668,356.2322557,2731.497314,56659
t7266,7.610552,1011.435,2390.967,1011.435,2390.967,363.0158007,2756.772949,60219
t7267,8.081175,48.53331,410.1331,48.53331,410.1331,369.7993159,2894.737305,60401
t7268,9.252143,0,118.1559,0,118.1559,385.8930469,2927.170654,58442
t7269,9.262054,0,164.3607,0,164.3607,402.8421938,2764.458252,54449
t7270,9.04255,0,0,0,0,420.3576446,2452.744141,51054
t7271,8.655712,0,0,0,0,405.2342176,2285.020508,48311
t7272,8.38844,0,0,0,0,390.2944028,1986.223999,44406
t7273,8.143375,0,0,0,0,374.9830127,2073.333984,41107
t7274,7.909723,0,0,0,0,373.9191294,1967.265137,39048
t7275,7.855244,0,0,0,0,372.8552759,1503.741089,37889
t7276,7.699844,0,0,0,0,371.7913926,1235.695801,37834
t7277,7.706165,0,0,0,0,371.5236485,1102.041138,38373
t7278,7.7732,0,0,0,0,371.0162342,1126.243164,38722
t7279,7.569113,168.8214,0,168.8214,0,370.5088496,1054.101685,39734
t7280,7.774198,339.6731,0,339.6731,0,357.2975993,1248.900391,42866
t7281,8.04697,1371.682,224.2342,1371.682,224.2342,344.086349,1676.355225,46110
t7282,8.317228,1277.474,781.0849,1277.474,781.0849,330.8750987,2302.811035,48824
t7283,7.886248,2434.021,799.5466,2434.021,799.5466,331.4274549,2400.589844,50061
t7284,8.067336,1066.138,1747.37,1066.138,1747.37,331.4130306,2806.601074,50647
t7285,7.867089,2247.192,4500,2247.192,4500,330.4519057,2994.964355,49406
t7286,7.680005,2019.736,4500,2019.736,4500,317.9014921,3589.3125,47403
t7287,7.586724,2355.519,4500,2355.519,4500,305.7745099,3390.85376,45902
t7288,7.775197,2232.438,4500,2232.438,4500,293.7623262,2670.332031,45237
t7289,7.982918,1380.471,4500,1380.471,4500,291.3067341,2238.058594,45566
t7290,8.218978,603.98,4500,603.98,4500,288.8511419,1966.44104,50240
t7291,8.890921,48.01761,4500,48.01761,4500,286.3955498,1935.349854,51778
t7292,10.2598,0,4500,0,4500,283.869952,2101.41748,49660
t7293,10.41004,0,4500,0,4500,281.3443244,2256.952637,46382
t7294,9.741892,0,4500,0,4500,278.8187265,2232.320801,44028
t7295,9.102441,0,1138.749,0,1138.749,274.8815715,2052.728516,42718
t7296,8.458678,0,591.8116,0,591.8116,270.9444165,1138.784302,39900
t7297,8.139981,0,758.3427,0,758.3427,267.0072615,703.7577515,36972
t7298,7.843448,0,512.6288,0,512.6288,264.7179663,524.2202759,35023
t7299,7.833741,0,279.1825,0,279.1825,262.4287009,651.3238525,34133
t7300,7.806334,0,662.9473,0,662.9473,260.1394057,805.6508179,34034
t7301,7.724239,0,391.9325,0,391.9325,260.2497935,955.9086304,34452
t7302,7.955123,0,0,0,0,260.3601515,1052.254761,34290
t7303,8.06568,204.1517,709.2462,204.1517,709.2462,260.4705095,1212.134033,34057
t7304,8.111839,1068.636,2774.093,1068.636,2774.093,260.4789436,1504.047363,35647
t7305,8.552653,2047.606,4339.886,2047.606,4339.886,260.4873478,1923.896118,38817
t7306,8.64521,3388.853,1461.122,3388.853,1461.122,260.4957521,2345.491211,41611
t7307,8.810005,3800.156,1236.988,3800.156,1236.988,259.1305971,2379.768311,42162
t7308,8.893018,3134.761,1287.295,3134.761,1287.295,257.7654719,2607.375488,39512
t7309,8.564816,3541.845,165.4461,3541.845,165.4461,256.400317,2508.624756,38664
t7310,8.750906,3708.632,0,3708.632,0,253.9471984,2181.319824,37476
t7311,8.900015,3060.492,0,3060.492,0,251.4941096,1882.373535,37314
t7312,9.140123,2679.597,0,2679.597,0,249.0409911,1629.980713,38617
t7313,8.870015,1844.567,0,1844.567,0,247.8961945,1727.152222,41252
t7314,8.774573,788.7074,262.2519,788.7074,262.2519,246.7514127,2273.76709,46719
t7315,9.057807,131.0101,226.4294,131.0101,226.4294,245.6066161,2784.251953,48811
t7316,10.06738,0,252.3267,0,252.3267,243.4585094,3075.47998,47396
t7317,10.14171,0,903.0796,0,903.0796,241.3103878,3244.717773,44858
t7318,9.587927,0,832.4254,0,832.4254,239.1622812,3226.345703,42917
t7319,9.010764,0,0,0,0,237.0723337,2932.395264,42185
t7320,8.494335,0,0,0,0,234.8988205,3100.765137,39269
t7321,8.090064,0,0,0,0,232.7253073,3193.607422,36987
t7322,8.006642,0,294.6297,0,294.6297,231.8975776,3118.765137,35558
t7323,7.875875,0,0,0,0,231.069833,2905.914795,35164
t7324,7.825592,0,0,0,0,230.2421033,2786.897949,36152
t7325,7.842425,0,0,0,0,231.3238233,2793.266357,38246
t7326,8.021294,0,0,0,0,232.4055433,3000.930176,42761
t7327,7.968453,174.4776,413.6888,174.4776,413.6888,233.4872633,3543.967529,51039
t7328,7.821019,1119.851,1017.11,1119.851,1017.11,236.7540449,3830.226074,56187
t7329,8.336392,2079.158,4182.326,2079.158,4182.326,240.0208265,4021.063721,58183
t7330,8.647177,2811.176,3848.922,2811.176,3848.922,243.287608,4265.662598,58730
t7331,8.932357,3775.196,4500,3775.196,4500,243.0916876,4152.375,59737
t7332,8.911234,4001.572,4500,4001.572,4500,242.8957671,3951.405273,60345
t7333,8.736775,3350.61,4500,3350.61,4500,242.6998466,3475.654541,59661
t7334,8.972085,2692.999,4500,2692.999,4500,246.9715327,3289.231934,59409
t7335,9.06655,3165.948,4500,3165.948,4500,251.1467338,3362.7771,58829
t7336,9.265872,2464.786,2850.69,2464.786,2850.69,255.2672625,3416.391846,58157
t7337,9.152759,1595.238,1708.729,1595.238,1708.729,252.3680627,3716.511719,57938
t7338,8.678129,743.2006,4362.605,743.2006,4362.605,251.0208786,4172.405273,61816
